indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0067,,Standing Rock Outrage!,Rich Wandschneider,2017-02-08,"Blog entry from February 8, 2017",Custer Battlefield;Dakota Access;Wounded Knee;Little Big Man;Alvin Josephy;Standing Rock;Dave Archambault;Julie Turkewitz;Standing Rock Sioux,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/standing-rock-outrage.html,record,url,eng,,
josephy0068,,Resilience,Rich Wandschneider,2017-01-29,"Blog entry from January 29, 2017",Kinzua dam;Klamath;Nixon on Indians;Garrison Dam;Dawes Act;Trump tweets pipelineLLif;Termination act;Standing Rock;Indian casinos;Boldt decision,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/01/resilience.html,record,url,eng,,
josephy0069,,Cold winter and climate change,Rich Wandschneider,2017-01-09,"Blog entry from January 9, 2017",climate change; little ice age;great warming;Mayan collapse;California live oaks;Brian Fagan,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/01/cold-winter-and-climate-change.html,record,url,eng,,
josephy0070,,A white guy looks at Indian affairs; more lessons from Standing Rock,Rich Wandschneider,2016-12-29,"Blog entry from December 29, 2016",apartheid;Gandhi;Raymond Cross;peace politics;Garrison Dam;Mandela;Bears Ears National Monument;Standing Rock;Corps of Engineers,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/a-white-guy-looks-at-indian-affairs.html,record,url,eng,,
josephy0071,,Lessons from Standing Rock,Rich Wandschneider,2016-12-22,"Blog entry from December 22, 2016",clean water;Indian Sovereignty. lake Oahe;Sioux;Standing Rock;Treaty Rights;lead in water,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/lessons-from-standing-rock.html,record,url,eng,,
josephy0072,,Standing Rock slips away,Rich Wandschneider,2016-12-14,"Blog entry from December 14, 2016",Dakota Access;Wounded Knee;Little Big Hole;Little Big Man;Sioux Indians;Alvin Josephy;Standing Rock;Kevin Cramer;Custer,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/standing-rock-slips-away.html,record,url,eng,,
josephy0073,,Giving Tuesday,Rich Wandschneider,2016-12-01,"Blog entry from December 1, 2016",Josephy Library;Josephy Center,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/giving-tuesday.html,record,url,eng,,
josephy0074,,"American Indians, water, and the public good",Rich Wandschneider,2016-11-28,"Blog entry from November 28, 2016",Kinzua dam;environmental community;Garrison Dam;Alvin Josephy;Standing Rock;Flint water;Portland water;Army Corps of Engineers,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/american-indians-water-and-public-good.html,record,url,eng,,
josephy0075,,Happy Thanksgiving—and pass the cranberries,Rich Wandschneider,2016-11-24,"Blog entry from November 24, 2016",Columbian Exchange;alt right;wild turkey;Richard Spencer;Cabeza de Vaca;Little Ie Age;cranberries;Thanksgiving,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/happy-thanksgiving-and-pass-cranberries.html,record,url,eng,,
josephy0076,,Salmon and Beaver; Politics and Biology,Rich Wandschneider,2016-11-18,"Blog entry from November 18, 2016",Astor;Hudson's Bay;North West Company;beaver;Columbia District;joint occupancy;Oregon Country;fur trade;Georg Simpson;salmon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/salmon-and-beaver-politics-and-biology.html,record,url,eng,,
